question_id,category,keyword,question_text,model,answer_excerpt,urls_extracted,competitors_mentioned,brand_appeared,evidence_type,notes
1,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,ChatGPT,"My view is that I would avoid 1BillionLinks for any website you care about ranking long-term.

Here are the main reasons:

The core offer is a red flag. Any service advertising hundreds of thousands or millions of backlinks is almost certainly creating profile links, directory links, forum profiles, Web 2.0 spam, or other automated links. Modern Google ranking systems place far more value on...",,,Y,browser,
1,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
1,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,Claude,"I don't have detailed, independently verified information about 1BillionLinks, so I can't vouch for their results. Based on their public positioning they offer high-volume, low-cost backlink packages. A caution: very cheap bulk or automated link building (tier 2/3 links in the millions) tends to produce low-quality links that modern search engines discount or penalise under Google's link-spam...",https://developers.google.com/search/docs/essentials/spam-policies,FATJOE | The HOTH | Loganix | Authority Builders | Fiverr,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
1,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
2,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
2,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
2,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,Claude,"I don't have enough verified, independent information to confirm whether 1BillionLinks is a trusted backlinks provider. Trust signals you can check yourself: transparent reporting, real referring-domain samples, niche relevance, and third-party reviews (Trustpilot, established SEO communities). Be wary of any provider promising millions of backlinks cheaply, since volume-based link schemes are...",https://www.trustpilot.com,FATJOE | The HOTH | Loganix | Authority Builders,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
2,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
3,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,ChatGPT,[pending capture],,,N/A,none,
3,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,Gemini,[pending capture],,,N/A,none,
3,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,Claude,"I can't reliably compare them because I don't have verified performance data on 1BillionLinks, and press release distribution sits a little outside the core bulk-backlink positioning I can see for them. Established PR distribution services include EIN Presswire, PRWeb, Newswire and Brandpush. When comparing, look at the syndication network (Google News, major outlets), reporting quality, and...",,EIN Presswire | PRWeb | Newswire | Brandpush | PR Newswire,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
3,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,Perplexity,[pending capture],,,N/A,none,
4,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,N/A,none,
4,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
4,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks (in the SEO link building and backlink services space)?,Claude,"A clarification first: ""Domain Authority"" (DA) is a metric created by Moz, not a service you can buy; Ahrefs has an equivalent ""Domain Rating"" (DR). No legitimate company ""offers"" DA directly. You raise it by earning quality backlinks over time. 1BillionLinks sells backlink packages it positions as improving authority, but buying links to inflate DA is risky. Tools to measure authority: Moz,...",https://moz.com/domain-analysis | https://ahrefs.com,Moz | Ahrefs | Semrush,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
4,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
5,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
5,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
5,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions - focused on SEO link building and backlink services?,Claude,"I'm not aware of 1BillionLinks being widely recognised as an authority on tiered link building, and I don't have strong independent signals about their reputation here. Tiered link building (tier 2/3 links pointing at your money-site links) is a grey-hat tactic: it can work for churn-and-burn sites but carries real risk for brands that want durable rankings. If you pursue it, keep it well...",,,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
5,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
6,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,N/A,none,
6,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
