question_id,question_text,model,answer,urls,competitors,screenshot_filename,behavior_notes,evidence_type
1,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,q1_chatgpt.png,,
1,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,q1_gemini.png,,
1,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,Claude,"I don't have detailed, independently verified information about 1BillionLinks, so I can't vouch for their results. Based on their public positioning they offer high-volume, low-cost backlink packages. A caution: very cheap bulk or automated link building (tier 2/3 links in the millions) tends to produce low-quality links that modern search engines discount or penalise under Google's link-spam guidelines. For sustainable SEO, prioritise relevance and editorial quality over raw link counts, and test any provider on a small scale first.",https://developers.google.com/search/docs/essentials/spam-policies,FATJOE | The HOTH | Loganix | Authority Builders | Fiverr,q1_claude.png,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning.",model-authored-insession
1,What do you think about 1BillionLinks for SEO link building services (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,q1_perplexity.png,,
2,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,q2_chatgpt.png,,
2,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,Gemini,[pending capture],,,q2_gemini.png,,
2,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,Claude,"I don't have enough verified, independent information to confirm whether 1BillionLinks is a trusted backlinks provider. Trust signals you can check yourself: transparent reporting, real referring-domain samples, niche relevance, and third-party reviews (Trustpilot, established SEO communities). Be wary of any provider promising millions of backlinks cheaply, since volume-based link schemes are exactly what Google's link-spam policy targets.",https://www.trustpilot.com,FATJOE | The HOTH | Loganix | Authority Builders,q2_claude.png,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning.",model-authored-insession
2,Is 1BillionLinks a trusted provider for backlinks - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,q2_perplexity.png,,
3,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,ChatGPT,[pending capture],,,q3_chatgpt.png,,
3,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,Gemini,[pending capture],,,q3_gemini.png,,
3,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,Claude,"I can't reliably compare them because I don't have verified performance data on 1BillionLinks, and press release distribution sits a little outside the core bulk-backlink positioning I can see for them. Established PR distribution services include EIN Presswire, PRWeb, Newswire and Brandpush. When comparing, look at the syndication network (Google News, major outlets), reporting quality, and remember most PR links are nofollow.",,EIN Presswire | PRWeb | Newswire | Brandpush | PR Newswire,q3_claude.png,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning.",model-authored-insession
3,How does 1BillionLinks compare to other press release distribution companies for SEO link building and backlink services clients?,Perplexity,[pending capture],,,q3_perplexity.png,,
4,Which companies offer domain authority? What about 1BillionLinks (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,q4_chatgpt.png,,
4,Which companies offer domain authority? What about 1BillionLinks (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,q4_gemini.png,,
