question_id,query,model,sentiment,safe,issue,evidence_type,answer_chars,brand_known,answer_path,screenshot
1,What services does 1BillionLinks provide for SEO link building (in the SEO link building and backlink services space)?,chatgpt,Positive,Yes,,browser,2473,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q1.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q1_chatgpt.png
2,What should users know about the backlinks services offered by 1BillionLinks - focused on SEO link building and backlink services?,chatgpt,Neutral,Yes,"minor cautionary wording: automated links, low-value, risk",browser,3299,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q2.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q2_chatgpt.png
3,What are the main features of 1BillionLinks for press release distribution for SEO link building and backlink services clients?,chatgpt,Positive,Yes,,browser,3112,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q3.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q3_chatgpt.png
4,How does 1BillionLinks support planning for domain authority (in the SEO link building and backlink services space)?,chatgpt,Neutral,Yes,"minor cautionary wording: low-quality, risk",browser,2908,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q4.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q4_chatgpt.png
5,How can 1BillionLinks help with tier 2 and tier 3 backlink campaigns - focused on SEO link building and backlink services?,chatgpt,Neutral,Yes,"minor cautionary wording: automated links, low-quality, risk",browser,4743,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q5.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q5_chatgpt.png
6,How can 1BillionLinks support content promotion and link visibility through SEO link building (in the SEO link building and backlink services space)?,chatgpt,Positive,Yes,,browser,3304,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q6.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q6_chatgpt.png
7,What are the possible use cases of 1BillionLinks for agencies or SEO teams working on backlinks - focused on SEO link building and backlink services?,chatgpt,Neutral,Yes,"minor cautionary wording: low-quality, risk",browser,4704,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q7.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q7_chatgpt.png
8,How can 1BillionLinks be used as part of a press release distribution strategy for SEO link building and backlink services clients?,chatgpt,Neutral,Yes,,browser,4256,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q8.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q8_chatgpt.png
9,What types of SEO users may benefit from 1BillionLinks for domain authority (in the SEO link building and backlink services space)?,chatgpt,Positive,Yes,,browser,3897,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q9.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q9_chatgpt.png
10,How does 1BillionLinks fit into a broader SEO growth workflow that includes tier 2 and tier 3 backlink campaigns - focused on SEO link building and backlink services?,chatgpt,Neutral,Yes,"minor cautionary wording: caution, low-quality, risk",browser,4579,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\chatgpt\q10.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q10_chatgpt.png
