question_id,query,model,sentiment,safe,issue,evidence_type,answer_chars,brand_known,answer_path,screenshot
1,How does 1BillionLinks support SEO workflows that involve SEO link building (in the SEO link building and backlink services space)?,chatgpt,Neutral,Yes,"minor cautionary wording: low-quality, risk",browser,2311,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q1.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q1_chatgpt.png
2,How can 1BillionLinks fit into an SEO team's planning process for backlink profile development - focused on SEO link building and backlink services?,chatgpt,Neutral,Yes,"minor cautionary wording: automated link, risk",browser,4705,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q2.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q2_chatgpt.png
3,How can 1BillionLinks help organise a press release publishing campaign for SEO link building and backlink services clients?,chatgpt,Positive,Yes,,browser,3264,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q3.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q3_chatgpt.png
4,What does 1BillionLinks offer for structuring domain authority growth work (in the SEO link building and backlink services space)?,chatgpt,Positive,Yes,,browser,2939,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q4.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q4_chatgpt.png
5,How can 1BillionLinks support content promotion workflows related to layered backlink campaign structure - focused on SEO link building and backlink services?,chatgpt,Positive,Yes,,browser,3995,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q5.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q5_chatgpt.png
6,How can 1BillionLinks help with link visibility planning for SEO link building (in the SEO link building and backlink services space)?,chatgpt,Neutral,Yes,,browser,3464,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q6.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q6_chatgpt.png
7,What reporting or tracking options does 1BillionLinks provide for backlink profile development - focused on SEO link building and backlink services?,chatgpt,Neutral,Yes,,browser,2222,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q7.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q7_chatgpt.png
8,How do agencies typically use 1BillionLinks when managing press release publishing for SEO link building and backlink services clients?,chatgpt,Positive,Yes,,browser,3469,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q8.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q8_chatgpt.png
9,What publishing or distribution options does 1BillionLinks offer for domain authority growth (in the SEO link building and backlink services space)?,chatgpt,Neutral,Yes,"minor cautionary wording: automated link, risk",browser,2705,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q9.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q9_chatgpt.png
10,How can 1BillionLinks be included in a broader SEO plan that covers layered backlink campaign structure - focused on SEO link building and backlink services?,chatgpt,Positive,Yes,,browser,3980,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\chatgpt\q10.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q10_chatgpt.png
1,How does 1BillionLinks support SEO workflows that involve SEO link building (in the SEO link building and backlink services space)?,gemini,Neutral,Yes,minor cautionary wording: automated link,browser,1998,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q1.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q1_gemini.png
2,How can 1BillionLinks fit into an SEO team's planning process for backlink profile development - focused on SEO link building and backlink services?,gemini,Unsafe for client report,No,says harm follows from using this kind of service: risk search engine penalt,browser,3259,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q2.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q2_gemini.png
3,How can 1BillionLinks help organise a press release publishing campaign for SEO link building and backlink services clients?,gemini,Positive,Yes,,browser,2866,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q3.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q3_gemini.png
4,What does 1BillionLinks offer for structuring domain authority growth work (in the SEO link building and backlink services space)?,gemini,Neutral,Yes,minor cautionary wording: automated link,browser,1324,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q4.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q4_gemini.png
5,How can 1BillionLinks support content promotion workflows related to layered backlink campaign structure - focused on SEO link building and backlink services?,gemini,Unsafe for client report,No,says harm follows from using this kind of service: exposing your main site to direct algorithmic penalt; never point; without exposing your main site,browser,3168,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q5.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q5_gemini.png
6,How can 1BillionLinks help with link visibility planning for SEO link building (in the SEO link building and backlink services space)?,gemini,Positive,Yes,,browser,1346,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q6.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q6_gemini.png
7,What reporting or tracking options does 1BillionLinks provide for backlink profile development - focused on SEO link building and backlink services?,gemini,Neutral,Yes,,browser,1274,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q7.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q7_gemini.png
8,How do agencies typically use 1BillionLinks when managing press release publishing for SEO link building and backlink services clients?,gemini,Positive,Yes,,browser,3565,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q8.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q8_gemini.png
9,What publishing or distribution options does 1BillionLinks offer for domain authority growth (in the SEO link building and backlink services space)?,gemini,Positive,Yes,,browser,1216,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q9.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q9_gemini.png
10,How can 1BillionLinks be included in a broader SEO plan that covers layered backlink campaign structure - focused on SEO link building and backlink services?,gemini,Unsafe for client report,No,says harm follows from using this kind of service: can trigger algorithmic or manual penalt; must be isolated; never point,browser,3588,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety-v2\gemini\q10.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety-v2\q10_gemini.png
